adapter,dataset,character,zips2_folder,match_confidence,num_samples,language,final_loss
breathy_alto_50s_f_fantasy,narrator_mare_trevathan_the_godking_s_legacy_char1_vol01,char1,Mare Trevathan The Godking's Legacy-converted,0.88,200,english,4.095
breathy_baritone_30s_m_fantasy,narrator_robert_west_damsels_of_jormia_char2_vol01,char2,Robert West Damsels of Jormia-converted,0.85,24,english,5.095
breathy_baritone_40s_m_literary,narrator_suzie_yeung_even_if_these_tears_disappear_tonight_char5_vol01,char5,Suzie Yeung Even If These Tears Disappear Tonight-converted,0.91,200,english,4.127
breathy_baritone_40s_m_military_1,narrator_michael_page_house_of_chains_char1_vol01,char1,Michael Page House of Chains-converted,0.85,200,english,4.083
breathy_baritone_40s_m_military_2,narrator_qarie_marshall_wolverine_road_of_bones_1662042051_char1_vol01,char1,Qarie Marshall Wolverine: Road of Bones [1662042051],1.0,200,english,4.14
breathy_mezzo_20s_f_scifi,narrator_luci_christian_full_metal_panic_char2_vol01,char2,Luci Christian Full Metal Panic-converted,0.86,200,english,4.016
breathy_tenor_18s_m_supernatural,narrator_keith_silverstein_kizumonogatari_char2_vol01,char2,Keith Silverstein KIZUMONOGATARI-converted,0.86,200,english,4.055
breathy_tenor_20s_m_fantasy,narrator_liam_price_the_archer_of_beast_woods_char1_vol01,char1,Liam Price The Archer of Beast Woods-converted,0.88,200,english,4.068
breathy_tenor_50s_m_fantasy,narrator_ralph_lister_gardens_of_the_moon_char1_vol01,char1,Ralph Lister Gardens of the Moon-converted,0.86,200,english,4.04
bright_tenor_30s_m,narrator_mallorie_rodak_frieren_beyond_journey_s_end_prelude_vol_1_b0gx9t26cv_char1_vol01,char1,"Mallorie Rodak Frieren: Beyond Journey's End -Prelude-, Vol. 1 [B0GX9T26CV]",1.0,170,english,4.1
crisp_mezzo_30s_f,narrator_miranda_parkin_my_happy_marriage_vol_1_char2_vol01,char2,"Miranda Parkin My Happy Marriage, Vol. 1-converted",0.88,200,english,4.008
crisp_tenor_20s_m,narrator_suzie_yeung_even_if_these_tears_disappear_tonight_char1_vol01,char1,Suzie Yeung Even If These Tears Disappear Tonight-converted,0.91,200,english,4.01
crisp_tenor_30s_m_fantasy,narrator_shiromi_arserio_the_jasmine_throne_154910487x_char1_vol01,char1,Shiromi Arserio The Jasmine Throne [154910487X],1.0,200,english,4.129
gravelly_baritone_50s_m_scifi,narrator_scott_brick_foundation_s_edge_b005wl4r7e_char1_vol01,char1,Scott Brick Foundation's Edge [B005WL4R7E],1.0,200,english,4.018
husky_alto_40s_f,narrator_amy_landon_a_memory_called_empire_teixcalaan_book_1_1250318955_char1_vol01,char1,"Amy Landon A Memory Called Empire: Teixcalaan, Book 1 [1250318955]",1.0,200,english,4.035
husky_baritone_20s_m_anime,narrator_cristina_vee_nekomonogatari_char2_vol01,char2,Cristina Vee Nekomonogatari-converted,0.84,200,english,4.068
